LGA,Depression Rate,Social (at Risk),Social (vulnerable),Language (at Risk),Language (vulnerable),Communication (at Risk),Communication (Vulnerable),Emotional (at Risk),Emotional (Vulnerable),Health (at Risk),Health (Vulnerable),ecTeachers,ecStudents,psGovTeachers,psCTeachers,psStudents,ssGovTeachers,ssCTeachers,ssStudents,tsRatio,bullying,connectedness,familystress
Greater Shepparton,19.5,14.5,15.4,10.8,13.5,16.5,15,13.1,14.5,12.7,16.5,44.0,1029.0,361.0,228.7,9501.0,217.0,228.7,6315.0,0.0654653515427415,0.144,0.871,0.1021324354657687
Hepburn,24.7,18.6,6.2,6.2,6.2,14,3.1,14,9.3,6.2,13.2,8.0,156.0,64.0,14.8,647.0,37.0,14.8,435.0,0.1207024029574861,0.056,0.837,0.1428571428571428
Hindmarsh,19.5,21.9,10.9,21.9,3.1,17.2,4.7,9.4,15.6,9.4,14.1,2.5,48.0,26.0,2.5,449.0,54.0,2.5,390.0,0.101311084624553,0.086,0.914,0.109375
Hobsons Bay,18.6,15.3,8.6,8,6.7,11,7.7,13.6,6.7,10,10.2,60.0,1269.0,376.0,258.0,9268.0,234.0,258.0,6835.0,0.0699248587219772,0.118,0.854,0.0908096280087527
Horsham,19.8,12.9,15.4,8.3,8.7,15.8,5.8,17.4,13.7,13.3,11.6,9.0,276.0,80.0,51.5,1760.0,75.0,51.5,1401.0,0.0816197405884213,0.147,0.859,0.1330645161290322
Hume,18.9,15.7,13.4,12.6,11.5,17,13.7,17,11.3,13.8,13,123.0,3440.0,962.0,548.8,21913.0,681.0,548.8,16010.0,0.0722674893863882,0.164,0.829,0.09375
Indigo,19.3,14.9,11.3,7.2,9.3,20.6,10.8,21.1,10.8,16,17,11.0,186.0,67.0,20.7,1723.0,53.0,20.7,517.0,0.0720535714285714,0.204,0.793,0.1242937853107344
Kingston,20.4,12.8,6.9,7.2,4.1,12.5,5,13.6,5.3,12.4,5.9,108.0,1800.0,577.0,383.6,12513.0,379.0,383.6,8352.0,0.082588066139468,0.109,0.904,0.0880893300248139
Knox,23.6,12.4,6.8,7.5,4.4,10.4,5.4,15,7.2,9.8,6.4,104.0,1827.0,550.0,211.8,11675.0,339.0,211.8,6580.0,0.0719035880580662,0.184,0.842,0.1062340966921119
Latrobe,24.1,16.5,16.5,11.6,12,15,13.2,14.9,15.1,12,16.4,46.0,1042.0,332.0,195.6,6260.0,227.0,195.6,4206.0,0.090789222243455,0.221,0.812,0.1067285382830626
Loddon,22.6,14.9,9,7.5,11.9,16.4,13.4,13.4,9,6,16.4,5.0,78.0,40.0,2.5,639.0,61.0,2.5,568.0,0.0878210439105219,0.302,0.871,0.1071428571428571
Macedon Ranges,20.3,13.8,6.7,5.3,3.3,13.6,3.6,12.9,7.1,10.8,6.9,36.0,670.0,206.0,147.2,4286.0,115.0,147.2,4958.0,0.0665729121592384,0.127,0.852,0.1182634730538922
Manningham,14.7,12.1,10.1,7.5,4.7,12.6,7.7,12.2,7.5,13.4,6.7,81.0,1292.0,434.0,349.9,10294.0,323.0,349.9,6802.0,0.085212915301825,0.116,0.903,0.1013574660633484
Mansfield,22.1,9.8,3.7,7.3,2.4,11,0,7.3,4.9,2.4,6.1,,,,,,,,,,0.062,0.963,0.1075268817204301
Maribyrnong,20.7,13.2,7.2,8.6,3.3,12.4,6.9,11.9,6.6,10.7,5.6,44.0,958.0,269.0,206.1,5047.0,311.0,206.1,5414.0,0.0948475289169295,0.123,0.86,0.0910112359550561
Maroondah,20.5,13.1,6.1,8.7,6,10.8,5.6,15,6.7,10.6,7.3,85.0,1608.0,426.0,220.4,9519.0,307.0,220.4,8552.0,0.0649549001162082,0.127,0.892,0.1237942122186495
Melbourne,19.7,13.4,9.2,9.7,5.1,15.4,11,13.1,8.1,12.5,7.5,79.0,945.0,109.0,145.9,3768.0,148.0,145.9,5904.0,0.0567411083540115,0.118,0.818,0.0760233918128654
Melton,19.6,13.6,9.2,11.9,7.5,12.4,6.8,13.7,7.6,10.7,7.9,106.0,2468.0,659.0,317.6,15326.0,475.0,317.6,8375.0,0.0746466393823045,0.175,0.793,0.0887290167865707
Mildura,20.9,18,8.7,9,10.5,18,8,19.3,10.6,13.9,10.9,35.0,821.0,271.0,144.7,5478.0,272.0,144.7,4207.0,0.0859473412493546,0.141,0.845,0.0870253164556962
Mitchell,23.3,14.4,8.1,10.8,7.8,11.7,5.1,15.3,8,10.3,6.4,31.0,641.0,214.0,172.4,3460.0,146.0,172.4,3410.0,0.1025909752547307,0.261,0.748,0.1210428305400372
Moira,21.5,11.5,9.2,13.1,6.7,13.4,8.3,15.1,6.9,10.8,10.5,20.0,398.0,79.0,155.5,2967.0,113.0,155.5,2151.0,0.0982805783509183,0.22,0.865,0.146788990825688
Monash,14.6,12.5,7,6.3,3.5,9.5,6.5,15.2,6.3,7.6,5.9,130.0,2221.0,799.0,550.5,16358.0,745.0,550.5,15510.0,0.0829986193046316,0.127,0.836,0.079374624173181
Moonee Valley,16.4,13.1,7.4,6.6,3.6,11.1,4.8,13.7,6.3,9,4.7,77.0,1564.0,381.0,395.4,10159.0,406.0,395.4,7982.0,0.0869742572074307,0.114,0.868,0.0921052631578947
Moorabool,22.8,10,5.5,9.8,2.8,9.3,2.8,9.7,4.7,8.8,4.8,24.0,433.0,159.0,39.5,3179.0,57.0,39.5,1868.0,0.0584505646918961,0.131,0.877,0.0963302752293578
Moreland,21.8,12.8,10.2,7.4,6.3,13.8,8.4,12.6,8.6,12.8,7.7,103.0,2061.0,444.0,346.9,10887.0,316.0,346.9,5022.0,0.0913822364699227,0.14,0.857,0.1007591442374051
Mornington Peninsula,20.9,15.6,8.4,9.9,6.4,13.3,5.3,15.5,7.8,12.4,7.8,105.0,1903.0,708.0,328.1,13100.0,415.0,328.1,10455.0,0.0755338569305879,0.158,0.83,0.1091011871113623
Mount Alexander,24.3,17.2,15.2,19.9,7.3,23.8,8.6,14.6,14.6,22.5,16.6,13.0,215.0,77.0,5.6,1357.0,54.0,5.6,664.0,0.0703612073231073,0.117,0.86,0.1180124223602484
Moyne,15.6,8.9,6.3,5.8,5.3,12.6,3.2,10.5,5.8,7.9,5.8,9.0,199.0,68.0,26.6,1368.0,29.0,26.6,200.0,0.0957908163265306,0.127,0.864,0.1243781094527363
Murrindindi,18.9,13,6.5,8.1,5.7,8.9,3.3,15.4,7.3,3.3,9.8,7.0,151.0,58.0,20.0,967.0,82.0,20.0,644.0,0.1117318435754189,0.07,0.874,0.1404494382022472
Nillumbik,20.8,8.8,5.7,4.8,1.8,11.4,1.3,9.2,4.8,9.1,4,51.0,892.0,302.0,113.3,5088.0,146.0,113.3,3952.0,0.0746238938053097,0.101,0.872,0.1139705882352941
