,ecTeachers,ecStudents,psGovTeachers,psCTeachers,psStudents,ssGovTeachers,ssCTeachers,ssStudents,stRatio
Towong,2.5,52,30,9.2,410,56,9.2,599,0.10346878097125868
Wangaratta,22.0,357,119,154.7,2387,53,154.7,2406,0.10043813895263926
Warrnambool,25.0,473,105,196.0,2798,143,196.0,2051,0.13198597648999794
Wellington,26.0,530,184,125.3,3023,144,125.3,3010,0.09590585115199735
West Wimmera,2.5,36,20,6.9,281,38,6.9,229,0.14078431372549022
Whitehorse,110.0,1857,637,316.6,14035,476,316.6,9429,0.07442038868053187
Whittlesea,132.0,3351,839,570.4,17155,658,570.4,10539,0.09524806817361162
Wodonga,29.0,730,167,152.7,4032,178,152.7,3736,0.08372811534500514
Wyndham,181.0,4537,928,702.8,26655,1040,702.8,15876,0.07932096588370836
Yarra,72.0,974,305,109.5,4497,272,109.5,3586,0.0984782877644439
Yarra Ranges,99.0,1937,679,295.8,13365,496,295.8,10890,0.0728344671201814
Yarriambiack,2.5,81,34,12.5,424,51,12.5,245,0.16442451420029897
